,Place,Lat,Lng
303,Fort Wainwright,64.8415898,-147.6122585
304,North Pole,84.9999745,-135.0006002
305,Salcha,64.5296181,-147.0048114
306,Allakaket,66.5623206,-152.6820492
307,Anaktuvuk Pass,68.1532721,-151.7445341
308,Arctic Village,68.1331437,-145.6568174
309,Bettles Field,66.9043424,-151.5728125
310,Buckland,27.6147346,-99.4956015
311,Fort Greely,63.8567297,-145.9990273
312,Prudhoe Bay,70.3241025,-149.9423953
313,Delta Junction,64.0619792,-145.7746617
314,Fort Yukon,66.5839041,-145.3196186
315,Galena,42.4186148,-90.4471966
316,Gambell,63.7482464,-171.7586891
317,Huslia,65.6989265,-156.4204975
318,Kaktovik,70.1307101,-143.6433101
319,Kaltag,64.3250151,-158.8120796
320,Kivalina,67.7326973,-164.5596587
321,Kobuk,61.2174416,-149.8938717
322,Kotzebue,66.8778145,-162.6462414
323,Koyuk,64.9363917,-161.1831553
324,Koyukuk,64.8952503,-157.7200898
325,Denali National Park,63.2104873,-152.2366488
326,Manley Hot Springs,65.0239279,-150.7953632
327,Lake Minchumina,63.8171058,-152.6808054
328,Point Lay,69.7835037,-163.1472784
329,Nenana,64.5414732,-149.1302763
330,Noatak,67.5703564,-163.0781784
331,Nome,64.5119907,-165.4894385
332,Noorvik,66.8305274,-161.0536489
333,Nulato,64.6921095,-158.3479733
334,Point Hope,68.3438454,-166.8105023
335,Savoonga,63.6808,-170.559201
336,Selawik,66.5973037,-160.0460857
337,Shishmaref,66.2375929,-166.1692365
338,Shungnak,66.8806153,-157.1867318
339,Stevens Village,66.0190689,-149.1469466
340,Tanacross,63.3440189,-143.5521327
341,Tanana,65.1748882,-152.140749
342,Venetie,45.4046987,12.2472499
343,Wales,52.4017064,-5.2809095
344,Brevig Mission,65.3381553,-166.5309632
345,Ambler,40.1567245,-75.2308045
346,Chalkyitsik,66.649623,-143.8479768
347,Nuiqsut,70.2170468,-151.0636824
348,Atqasuk,70.4891747,-157.5388394
349,Juneau,58.3845201,-134.7581705
350,Angoon,57.4541255,-134.6402264
351,Auke Bay,58.3755757,-134.6933347
352,Elfin Cove,58.1853834,-136.3863981
353,Gustavus,44.3241776,-93.9782092
354,Haines,59.2465145,-135.5259527
355,Hoonah,58.1126671,-135.4660243
356,Petersburg,37.2048457,-77.4277979
357,Port Alexander,56.2265936,-134.7116933
358,Skagway,59.5693737,-135.6376907
359,Tenakee Springs,57.7953732,-135.2632613
360,Ketchikan,55.3453688,-131.696156
361,Meyers Chuck,55.7418388,-132.2613747
362,Coffman Cove,56.0098346,-132.8871388
363,Thorne Bay,55.6514899,-132.6179047
364,Hydaburg,55.206167,-132.8255567
365,Klawock,55.5593806,-133.1188414
366,Metlakatla,55.1195077,-131.5830561
367,Point Baker,56.3469671,-133.6268498
368,Ward Cove,55.4119558,-131.7315325
369,Wrangell,56.4166486,-132.457595
